Date,Starting_Inv_Amount,Ending_Inv_Amount,Rough_Volume
2015-01-01,391.0,398.43,30122
2015-01-02,389.0,397.45,43226
2015-01-05,388.03,394.0,110070
2015-01-06,377.5,391.5,351996
2015-01-07,375.6,384.3,610864
2015-01-08,378.58,389.0,287058
2015-01-09,379.6,385.95,412692
2015-01-12,386.03,411.0,675482
2015-01-13,404.98,432.5,955330
2015-01-14,421.3,447.2,1452746
2015-01-15,430.5,444.48,296784
2015-01-16,430.95,447.2,246262
2015-01-19,434.1,443.58,130674
2015-01-20,421.68,437.9,213308
2015-01-21,425.7,436.0,218150
2015-01-22,428.95,464.98,1014526
2015-01-23,444.73,454.95,230576
2015-01-27,440.93,469.35,546466
2015-01-28,449.03,483.0,900240
2015-01-29,455.05,474.95,1742328
2015-01-30,452.25,463.5,298624
2015-02-02,452.0,476.5,1433036
2015-02-03,461.53,474.0,508968
2015-02-04,457.03,474.35,259078
2015-02-05,456.3,471.9,304100
2015-02-06,442.5,462.5,763904
2015-02-09,442.5,471.45,461212
2015-02-10,468.0,481.95,381236
2015-02-11,470.55,508.1,471086
2015-02-12,496.53,512.45,317842
2015-02-13,499.5,522.95,455922
2015-02-16,506.85,522.42,426640
2015-02-18,503.08,517.15,385908
2015-02-19,486.85,514.2,110350
2015-02-20,481.05,500.35,182070
2015-02-23,487.5,510.0,301164
2015-02-24,496.5,512.58,281276
2015-02-25,490.03,503.4,128902
2015-02-26,476.5,497.93,218442
2015-02-27,477.5,489.0,249246
2015-03-02,477.63,487.68,210358
2015-03-03,483.25,500.53,282322
2015-03-04,497.45,519.2,419306
2015-03-05,511.1,549.0,702046
2015-03-09,507.08,523.5,328036
2015-03-10,516.0,562.0,793450
2015-03-11,531.88,554.0,337734
2015-03-12,538.5,565.0,259188
2015-03-13,531.55,571.48,272528
2015-03-16,529.28,548.38,115638
2015-03-17,530.5,543.65,114878
2015-03-18,534.67,552.48,307400
2015-03-19,524.03,552.5,240322
2015-03-20,497.5,533.65,481944
2015-03-23,471.53,504.5,755878
2015-03-24,487.53,514.45,864620
2015-03-25,494.8,512.5,457982
2015-03-26,497.53,524.5,339782
2015-03-27,497.93,516.42,126974
2015-03-30,493.28,512.98,233838
2015-03-31,498.28,510.0,83978
2015-04-01,496.0,507.5,422600
2015-04-06,501.13,512.42,155296
2015-04-07,510.0,525.98,250962
2015-04-08,517.5,550.63,287220
2015-04-09,532.5,554.38,277522
2015-04-10,530.53,559.0,232028
2015-04-13,540.03,560.8,134758
2015-04-15,533.7,551.5,126424
2015-04-16,519.35,549.33,136140
2015-04-17,510.5,528.5,155546
2015-04-20,497.75,522.28,255116
2015-04-21,500.0,517.42,128222
2015-04-22,492.83,515.0,466396
2015-04-23,493.15,507.5,76808
2015-04-24,483.1,498.75,184276
2015-04-27,457.0,486.5,972254
2015-04-28,465.5,478.55,602370
2015-04-29,464.1,477.75,228906
2015-04-30,464.0,472.5,252564
2015-05-04,447.0,467.5,408344
2015-05-05,450.1,465.0,213262
2015-05-06,451.5,466.33,427888
2015-05-07,435.0,455.68,122738
2015-05-08,443.5,458.98,167506
2015-05-11,449.0,476.38,455654
2015-05-12,457.13,476.0,183492
2015-05-13,455.55,474.5,755920
2015-05-14,463.5,524.5,2002800
2015-05-15,509.0,521.7,562810
2015-05-18,491.65,530.0,297252
2015-05-19,513.25,527.75,102530
2015-05-20,510.88,528.0,89852
2015-05-21,503.0,524.5,193810
2015-05-22,504.25,523.0,103586
2015-05-25,508.0,517.48,63762
2015-05-26,506.0,523.95,75578
2015-05-27,512.75,544.0,359172
2015-05-28,542.55,556.53,270968
2015-05-29,553.0,573.7,279470
2015-06-01,557.5,579.5,360828
2015-06-02,520.3,573.35,700792
2015-06-03,535.1,557.5,562470
2015-06-04,535.0,549.9,201086
2015-06-05,538.55,554.88,196242
2015-06-08,525.55,558.48,215890
2015-06-09,527.6,542.5,161154
2015-06-10,537.42,545.92,646070
2015-06-11,538.0,554.5,243598
2015-06-12,529.5,545.03,170530
2015-06-15,517.73,539.5,120168
2015-06-16,498.0,523.95,441064
2015-06-17,503.03,536.0,492798
2015-06-18,527.4,534.85,215770
2015-06-19,523.0,534.17,102444
2015-06-22,525.65,534.9,147766
2015-06-23,527.5,542.5,226264
2015-06-24,535.85,554.75,578876
2015-06-25,540.0,555.0,500086
2015-06-26,545.38,570.45,775552
2015-06-29,549.5,569.95,380180
2015-06-30,561.0,583.3,730402
2015-07-01,582.03,596.25,440822
2015-07-02,591.88,617.0,683166
2015-07-03,597.53,620.0,531278
2015-07-06,595.0,617.0,206970
2015-07-07,608.0,630.0,651536
2015-07-08,617.5,636.0,506266
2015-07-09,575.0,624.5,495488
2015-07-10,554.2,595.03,700662
2015-07-13,556.5,567.5,441958
2015-07-14,564.5,580.0,342406
2015-07-15,575.5,592.8,256250
2015-07-16,583.08,597.23,277776
2015-07-17,576.0,599.85,318164
2015-07-20,581.0,591.45,117972
2015-07-21,575.0,594.5,105138
2015-07-22,572.95,585.0,202328
2015-07-23,580.08,594.0,290062
2015-07-24,575.25,589.85,93096
2015-07-27,573.15,595.9,220832
2015-07-28,590.0,617.48,512856
2015-07-29,610.0,637.0,573716
2015-07-30,637.42,671.0,482516
2015-07-31,630.0,668.5,274558
2015-08-03,646.83,674.5,375918
2015-08-04,660.0,681.0,366512
2015-08-05,657.5,682.5,846404
2015-08-06,651.92,667.48,169050
2015-08-07,648.0,673.68,342052
2015-08-10,636.0,662.58,370676
2015-08-11,627.5,656.5,192486
2015-08-12,608.92,636.3,180662
2015-08-13,621.1,641.78,150026
2015-08-14,638.0,655.0,221716
2015-08-17,628.08,651.67,207088
2015-08-18,647.5,659.5,193670
2015-08-19,650.58,667.0,265940
2015-08-20,645.95,666.0,508464
2015-08-21,640.17,669.95,1150876
2015-08-24,587.5,644.98,399632
2015-08-25,574.67,612.5,311260
2015-08-26,591.08,628.48,210552
2015-08-27,611.08,639.63,237284
2015-08-28,585.05,623.78,360292
2015-08-31,586.8,602.67,438902
2015-09-01,576.75,599.9,530274
2015-09-02,582.35,618.0,434240
2015-09-03,621.65,648.0,1458492
2015-09-04,603.95,641.95,845198
2015-09-07,595.73,637.4,198460
2015-09-08,608.8,627.5,303050
2015-09-09,598.58,624.35,617060
2015-09-10,586.5,613.0,414248
2015-09-11,601.5,614.78,783738
2015-09-14,612.0,617.0,347260
2015-09-15,600.5,618.48,226444
2015-09-16,575.5,615.35,471696
2015-09-18,538.5,589.4,2507120
2015-09-21,525.5,543.5,743042
2015-09-22,535.0,549.48,494056
2015-09-23,520.0,556.5,711612
2015-09-24,542.53,557.5,401128
2015-09-28,539.0,564.95,779700
2015-09-29,550.53,581.42,342000
2015-09-30,570.0,583.55,307012
2015-10-01,576.0,592.45,245316
2015-10-05,588.53,607.5,497874
2015-10-06,578.55,610.0,249202
2015-10-07,583.5,592.5,117044
2015-10-08,577.0,591.95,104712
2015-10-09,575.0,589.0,89792
