Date,Starting_Inv_Amount,Ending_Inv_Amount,Rough_Volume
2015-01-01,6300.0,6400.0,3025
2015-01-02,6256.05,6366.5,6843
2015-01-05,6290.0,6370.0,10690
2015-01-06,6220.0,6313.05,13159
2015-01-07,6247.55,6308.95,35673
2015-01-08,6275.0,6345.0,7524
2015-01-09,6273.5,6479.95,20492
2015-01-12,6385.5,6520.0,47557
2015-01-13,6470.0,6741.0,55108
2015-01-14,6684.95,6930.0,37403
2015-01-15,6761.05,6940.0,59753
2015-01-16,6740.05,7005.0,49852
2015-01-19,6984.55,7100.0,35414
2015-01-20,7000.0,7110.0,28431
2015-01-21,7038.1,7120.0,31104
2015-01-22,7052.0,7170.0,54149
2015-01-23,7148.0,7290.0,45866
2015-01-27,7255.95,7430.0,45350
2015-01-28,7215.05,7421.0,23762
2015-01-29,7148.0,7364.9,22040
2015-01-30,7100.0,7220.0,30387
2015-02-02,6976.35,7161.55,24716
2015-02-03,6950.0,7190.0,18909
2015-02-04,6956.0,7139.15,6588
2015-02-05,6810.0,7050.0,17043
2015-02-06,6850.0,6970.0,8881
2015-02-09,6760.05,6930.0,15551
2015-02-10,6767.0,7018.0,15902
2015-02-11,6805.0,7000.0,13708
2015-02-12,6780.3,6970.0,12887
2015-02-13,6830.0,7097.8,28685
2015-02-16,7102.3,7272.0,23895
2015-02-18,7060.05,7225.0,32189
2015-02-19,7013.7,7175.0,11509
2015-02-20,7025.0,7237.7,134761
2015-02-23,6962.5,7205.2,29209
2015-02-24,6930.0,7079.85,58297
2015-02-25,7010.0,7075.0,42946
2015-02-26,6950.0,7099.7,25702
2015-02-27,6999.5,7058.9,65642
2015-03-02,6949.95,7049.9,26080
2015-03-03,6932.3,7160.5,26243
2015-03-04,7112.95,7319.0,45281
2015-03-05,7246.3,7366.45,30384
2015-03-09,7235.0,7425.0,21576
2015-03-10,7349.45,7505.0,18258
2015-03-11,7253.0,7445.75,19345
2015-03-12,7300.1,7379.9,13701
2015-03-13,7254.05,7357.7,21515
2015-03-16,7255.0,7347.9,12723
2015-03-17,7300.0,7400.0,27094
2015-03-18,7366.0,7420.0,49611
2015-03-19,7321.0,7420.0,27013
2015-03-20,7225.0,7400.0,27446
2015-03-23,7090.0,7284.4,23625
2015-03-24,6990.0,7190.0,26775
2015-03-25,6972.0,7094.95,27132
2015-03-26,6765.0,7030.9,42361
2015-03-27,6771.0,6916.95,26243
2015-03-30,6840.0,6999.0,45193
2015-03-31,6827.6,7132.0,64200
2015-04-01,6870.0,7059.95,13749
2015-04-06,6926.4,7150.0,24913
2015-04-07,7064.15,7174.95,17718
2015-04-08,7010.0,7168.15,12695
2015-04-09,7060.0,7112.0,30467
2015-04-10,7065.0,7139.7,44957
2015-04-13,7066.2,7119.95,29502
2015-04-15,7025.0,7109.35,23427
2015-04-16,6990.0,7095.0,26406
2015-04-17,6990.0,7053.0,14346
2015-04-20,6900.0,7010.0,15258
2015-04-21,6865.0,6999.8,11133
2015-04-22,6825.3,6940.0,17374
2015-04-23,6866.0,6934.0,35827
2015-04-24,6780.1,6950.0,10639
2015-04-27,6760.9,6868.0,34239
2015-04-28,6795.45,6849.9,25326
2015-04-29,6525.0,6879.95,41655
2015-04-30,6525.9,6709.95,42919
2015-05-04,6623.4,6810.0,16941
2015-05-05,6772.0,6835.0,14582
2015-05-06,6756.25,6820.0,17433
2015-05-07,6725.0,6850.0,28509
2015-05-08,6761.0,6869.95,22452
2015-05-11,6763.2,6870.0,39358
2015-05-12,6680.0,6845.0,38069
2015-05-13,6650.0,6810.65,34511
2015-05-14,6705.0,6919.7,20242
2015-05-15,6860.15,7050.0,23138
2015-05-18,6941.0,7349.0,37666
2015-05-19,6902.5,7157.95,26114
2015-05-20,6855.0,7116.3,30255
2015-05-21,6830.0,6999.0,30907
2015-05-22,6928.05,7119.5,42396
2015-05-25,6905.0,7013.9,12915
2015-05-26,6535.1,6993.0,62840
2015-05-27,6776.0,7135.0,61700
2015-05-28,6955.5,7210.0,34215
2015-05-29,6564.8,7057.65,108338
2015-06-01,6530.95,6733.0,68323
2015-06-02,6755.15,6999.9,75154
2015-06-03,5980.0,6533.0,390444
2015-06-04,5800.55,6050.0,430477
2015-06-05,5711.0,6125.0,756189
2015-06-08,5501.0,5850.0,344869
2015-06-09,5525.0,6120.0,568881
2015-06-10,6021.25,6240.0,247150
2015-06-11,5975.75,6306.0,302802
2015-06-12,5925.35,6184.5,104699
2015-06-15,5892.4,6050.0,73067
2015-06-16,5755.0,5899.0,87482
2015-06-17,5651.0,5900.0,140517
2015-06-18,5850.0,6128.0,118969
2015-06-19,6010.0,6325.0,145841
2015-06-22,6215.0,6411.15,78944
2015-06-23,6100.1,6290.0,54383
2015-06-24,5981.1,6163.15,55028
2015-06-25,5810.25,6049.0,136513
2015-06-26,5870.0,5970.0,75863
2015-06-29,5825.5,6087.5,82096
2015-06-30,6022.0,6392.0,252693
2015-07-01,6116.0,6494.0,168999
2015-07-02,6215.0,6375.0,111329
2015-07-03,6151.0,6344.95,89765
2015-07-06,6075.0,6199.95,38621
2015-07-07,6060.0,6190.0,63527
2015-07-08,5960.1,6060.2,109001
2015-07-09,6001.0,6099.0,70819
2015-07-10,5926.05,6070.0,92072
2015-07-13,5895.0,6020.0,65745
2015-07-14,5935.25,5994.0,40738
2015-07-15,5920.0,5995.6,101401
2015-07-16,5975.05,6045.5,35537
2015-07-17,6019.95,6125.0,52852
2015-07-20,6057.7,6131.8,19953
2015-07-21,6050.0,6107.85,22646
2015-07-22,5974.0,6048.0,26233
2015-07-23,5999.4,6069.9,31337
2015-07-24,6000.0,6124.45,30532
2015-07-27,6033.0,6306.85,113239
2015-07-28,6169.0,6300.0,53887
2015-07-29,6082.4,6254.6,73126
2015-07-30,5980.45,6390.0,176979
2015-07-31,6210.0,6390.0,111955
2015-08-03,6220.05,6500.0,108792
2015-08-04,6320.2,6383.6,105771
2015-08-05,6590.2,6998.0,364555
2015-08-06,6450.0,6596.0,173295
2015-08-07,6525.55,6560.0,69339
2015-08-10,6347.05,6567.3,62031
2015-08-11,6300.0,6463.95,51237
2015-08-12,6007.05,6350.0,114437
2015-08-13,6234.0,6533.0,506085
2015-08-14,6251.1,6398.0,63854
2015-08-17,6130.0,6279.95,45417
2015-08-18,6140.0,6207.0,63390
2015-08-19,6081.25,6200.0,59166
2015-08-20,6085.75,6180.0,65541
2015-08-21,6060.0,6195.0,36949
2015-08-24,5995.0,6208.75,78584
2015-08-25,6029.0,6220.8,50568
2015-08-26,6050.0,6199.85,56983
2015-08-27,6030.0,6175.0,35980
2015-08-28,6040.0,6140.0,43170
2015-08-31,5950.0,6104.95,69408
2015-09-01,5910.0,6028.45,34852
2015-09-02,5903.55,6067.2,40575
2015-09-03,5850.0,6074.7,51799
2015-09-04,5960.4,6064.95,19538
2015-09-07,5960.0,6030.0,31004
2015-09-08,5880.0,6004.1,37289
2015-09-09,5931.05,5995.0,26234
2015-09-10,5969.95,6014.95,22946
2015-09-11,5961.2,6060.0,14192
2015-09-14,6000.0,6069.0,18457
2015-09-15,6000.0,6090.0,21365
2015-09-16,6003.85,6138.0,52025
2015-09-18,6096.35,6260.0,64894
2015-09-21,6170.0,6255.0,9914
2015-09-22,6125.0,6300.0,25332
2015-09-23,6060.0,6350.35,31449
2015-09-24,6152.35,6288.0,26846
2015-09-28,6153.0,6278.0,27813
2015-09-29,6111.0,6250.0,24187
2015-09-30,6213.4,6398.0,54871
2015-10-01,6323.15,6434.0,30309
2015-10-05,6426.0,6482.0,29433
2015-10-06,6425.0,6519.0,23236
2015-10-07,6314.7,6490.0,36934
2015-10-08,6340.35,6419.0,8972
2015-10-09,6352.55,6449.0,14875
2015-10-12,6230.0,6430.05,24060
2015-10-13,6105.15,6317.6,46265
2015-10-14,6111.0,6248.0,15619
2015-10-15,6150.5,6258.95,24109
2015-10-16,6170.0,6669.95,317373
2015-10-19,6452.25,6614.4,71912
2015-10-20,6510.5,6648.5,73153
2015-10-21,6440.1,6629.0,59955
2015-10-23,6311.2,6550.0,39067
2015-10-26,6280.0,6420.0,33416
2015-10-27,6345.0,6410.0,33326
2015-10-28,6300.0,6380.05,29844
2015-10-29,6251.95,6370.0,47775
2015-10-30,6150.0,6262.0,51020
2015-11-02,6150.0,6319.0,29690
2015-11-03,6205.15,6320.0,28500
2015-11-04,6219.75,6474.0,157371
2015-11-05,6150.0,6299.0,38309
2015-11-06,6151.0,6234.95,16050
2015-11-09,6099.0,6199.95,51683
2015-11-10,6050.0,6190.0,32828
2015-11-11,6116.55,6184.95,9049
2015-11-13,6014.0,6186.0,115791
2015-11-16,5962.5,6070.0,110197
2015-11-17,5951.0,6137.85,67571
2015-11-18,6068.0,6134.9,27800
2015-11-19,6085.05,6323.0,61148
2015-11-20,6180.0,6279.0,19934
2015-11-23,6110.0,6226.0,28203
2015-11-24,6050.0,6162.5,33023
2015-11-26,6006.0,6140.0,72189
2015-11-27,5905.55,6043.25,113708
2015-11-30,5850.0,5964.15,142381
2015-12-01,5858.9,5950.0,50000
2015-12-02,5834.9,5920.0,59827
2015-12-03,5820.0,5860.0,66220
2015-12-04,5805.15,5907.0,41218
2015-12-07,5819.8,5910.0,17595
2015-12-08,5820.0,5899.7,50408
2015-12-09,5752.55,5849.0,120058
2015-12-10,5750.0,5820.0,28579
2015-12-11,5765.0,5930.0,53452
2015-12-14,5782.45,5909.9,27743
2015-12-15,5813.05,5910.0,34519
