Date,Starting_Inv_Amount,Ending_Inv_Amount,Rough_Volume
2015-01-01,551.0,565.67,451940
2015-01-02,558.29,572.4,1107210
2015-01-05,555.0,566.6,545510
2015-01-06,550.55,565.2,904490
2015-01-07,550.61,566.0,825565
2015-01-08,560.53,570.71,1304430
2015-01-09,566.32,574.6,2708760
2015-01-12,582.8,628.73,7742810
2015-01-13,611.2,627.76,2814310
2015-01-14,608.03,627.0,1448840
2015-01-15,604.13,618.0,1092860
2015-01-16,608.1,647.78,3530555
2015-01-19,636.2,682.8,3363840
2015-01-20,660.0,689.6,3407760
2015-01-21,664.2,680.98,1401855
2015-01-22,668.02,715.0,4701000
2015-01-23,690.0,717.19,2446270
2015-01-27,684.25,715.99,1961155
2015-01-28,686.04,700.4,1170310
2015-01-29,676.81,700.01,1753365
2015-01-30,685.0,714.99,1770620
2015-02-02,650.1,705.0,2665235
2015-02-03,650.0,679.6,1921525
2015-02-04,670.21,686.47,1308815
2015-02-05,670.22,689.41,994925
2015-02-06,668.4,688.0,628360
2015-02-09,668.02,683.68,643155
2015-02-10,658.01,684.76,877130
2015-02-11,654.8,671.17,878140
2015-02-12,664.4,682.0,823690
2015-02-13,677.75,691.6,851225
2015-02-16,661.0,687.96,769080
2015-02-18,666.25,681.94,4358570
2015-02-19,665.4,680.0,683960
2015-02-20,660.0,669.8,515305
2015-02-23,650.2,670.8,525010
2015-02-24,638.17,662.35,1167060
2015-02-25,655.0,679.74,1400505
2015-02-26,667.01,699.4,1623075
2015-02-27,679.09,704.8,1381170
2015-03-02,682.82,698.9,704935
2015-03-03,694.06,728.6,2043040
2015-03-04,714.0,809.6,4075330
2015-03-05,766.62,816.4,2807980
2015-03-09,724.81,799.6,3118990
2015-03-10,722.96,744.6,1245745
2015-03-11,714.2,744.0,1221695
2015-03-12,700.2,735.54,1712345
2015-03-13,706.24,726.8,1446500
2015-03-16,700.2,719.0,745725
2015-03-17,715.0,743.98,1697800
2015-03-18,728.24,763.0,1913555
2015-03-19,760.2,775.8,1020830
2015-03-20,734.91,774.34,1076315
2015-03-23,716.4,744.78,656770
2015-03-24,719.02,750.76,1179970
2015-03-25,716.25,751.98,1471825
2015-03-26,700.02,727.89,1301935
2015-03-27,691.01,723.6,1416015
2015-03-30,717.0,736.99,816775
2015-03-31,721.0,740.8,1176815
2015-04-01,720.25,731.02,810645
2015-04-06,724.2,742.99,722655
2015-04-07,736.41,755.6,1381465
2015-04-08,754.0,806.0,3354520
2015-04-09,770.0,796.76,969775
2015-04-10,772.0,806.0,1743325
2015-04-13,770.0,787.6,731845
2015-04-15,772.44,791.99,960435
2015-04-16,753.4,781.94,1066085
2015-04-17,765.0,779.0,673345
2015-04-20,726.0,772.2,1439670
2015-04-21,714.42,733.92,1441585
2015-04-22,691.0,729.64,1292625
2015-04-23,703.73,722.66,1103910
2015-04-24,678.0,713.6,961835
2015-04-27,656.8,693.2,2345590
2015-04-28,655.0,692.8,1533595
2015-04-29,661.99,685.0,1110840
2015-04-30,660.0,678.8,1356400
2015-05-04,660.2,710.92,1439465
2015-05-05,692.01,728.8,1276095
2015-05-06,691.24,721.0,993775
2015-05-07,670.0,702.01,1259585
2015-05-08,664.2,689.0,793205
2015-05-11,665.02,679.7,907760
2015-05-12,644.42,673.4,958815
2015-05-13,658.4,725.6,2853855
2015-05-14,703.1,748.0,2201445
2015-05-15,732.6,758.4,1428825
2015-05-18,746.72,769.4,1296100
2015-05-19,752.44,773.6,1144625
2015-05-20,743.6,765.8,1010805
2015-05-21,727.4,756.0,1119465
2015-05-22,733.1,745.8,978005
2015-05-25,731.58,755.6,662945
2015-05-26,716.02,757.39,2075125
2015-05-27,695.0,731.97,2624795
2015-05-28,670.21,705.0,2348965
2015-05-29,688.2,736.0,6875275
2015-06-01,700.25,721.4,1334475
2015-06-02,702.2,716.54,640240
2015-06-03,671.0,709.79,999815
2015-06-04,685.8,715.14,987615
2015-06-05,698.2,721.9,891920
2015-06-08,704.45,738.99,781660
2015-06-09,692.2,715.18,650160
2015-06-10,694.0,711.0,654875
2015-06-11,706.0,720.2,1002240
2015-06-12,700.0,719.0,546220
2015-06-15,710.4,726.0,669220
2015-06-16,697.04,719.99,738635
2015-06-17,689.01,704.8,1115080
2015-06-18,680.11,697.75,861545
2015-06-19,667.32,689.6,1524660
2015-06-22,668.0,682.0,999530
2015-06-23,652.21,673.0,2146085
2015-06-24,660.0,674.31,1669660
2015-06-25,656.48,665.6,1212145
2015-06-26,655.0,669.6,1472590
2015-06-29,639.99,664.8,976990
2015-06-30,657.6,678.0,1762620
2015-07-01,669.6,680.21,765565
2015-07-02,660.02,679.8,692445
2015-07-03,662.0,697.16,3079300
2015-07-06,666.0,690.0,1081735
2015-07-07,690.0,704.0,1433540
2015-07-08,682.02,705.76,1032145
2015-07-09,686.83,704.0,1522120
2015-07-10,690.25,707.76,480555
2015-07-13,690.6,700.0,362385
2015-07-14,692.04,705.53,628745
2015-07-15,694.81,703.54,539940
2015-07-16,696.4,713.8,880225
