Date,Starting_Inv_Amount,Ending_Inv_Amount,Rough_Volume
2015-01-01,893.0,907.2,76018
2015-01-02,904.05,923.9,293080
2015-01-05,911.6,930.0,152542
2015-01-06,905.0,930.0,469194
2015-01-07,910.75,937.98,361366
2015-01-08,940.0,967.98,617600
2015-01-09,953.0,974.25,524984
2015-01-12,957.63,972.2,200258
2015-01-13,964.95,975.0,696658
2015-01-14,960.5,981.9,234866
2015-01-15,962.5,979.0,430548
2015-01-16,973.03,988.2,343174
2015-01-19,970.0,988.45,321408
2015-01-20,958.0,979.0,420488
2015-01-21,936.3,970.9,534036
2015-01-22,951.23,969.0,679694
2015-01-23,940.0,971.05,840916
2015-01-27,950.0,971.5,1077602
2015-01-28,955.05,965.0,520602
2015-01-29,941.13,958.88,261696
2015-01-30,932.75,958.5,142750
2015-02-02,915.0,954.5,162060
2015-02-03,919.53,937.0,287020
2015-02-04,906.1,929.75,178698
2015-02-05,900.5,938.0,262034
2015-02-06,930.1,947.2,677094
2015-02-09,915.0,945.0,272898
2015-02-10,905.65,932.93,247162
2015-02-11,917.43,927.48,223774
2015-02-12,927.5,937.0,341652
2015-02-13,928.65,961.23,415504
2015-02-16,949.75,972.5,336122
2015-02-18,953.5,969.6,173562
2015-02-19,943.23,968.95,144650
2015-02-20,943.5,965.3,134372
2015-02-23,963.03,989.58,618948
2015-02-24,980.0,997.5,261852
2015-02-25,972.15,991.75,132078
2015-02-26,952.0,972.5,278752
2015-02-27,957.0,977.5,183648
2015-03-02,962.5,992.5,243644
2015-03-03,985.1,1014.0,439098
2015-03-04,981.25,1007.5,339240
2015-03-05,984.75,1037.5,711090
2015-03-09,1025.88,1060.0,654388
2015-03-10,1035.45,1064.35,386924
2015-03-11,1042.5,1063.8,170958
2015-03-12,1054.0,1069.5,415680
2015-03-13,1028.47,1062.5,192314
2015-03-16,1014.55,1037.45,251674
2015-03-17,1016.43,1032.85,266246
2015-03-18,1005.5,1042.0,185180
2015-03-19,1011.85,1028.9,177722
2015-03-20,997.0,1019.4,151672
2015-03-23,988.0,1009.63,296882
2015-03-24,990.0,1034.97,518670
2015-03-25,1014.2,1036.55,223570
2015-03-26,985.03,1026.83,424930
2015-03-27,981.28,1010.55,172838
2015-03-30,1002.55,1017.4,91544
2015-03-31,992.75,1018.5,305144
2015-04-01,995.03,1004.95,185818
2015-04-06,998.1,1030.0,302846
2015-04-07,1015.83,1054.33,444990
2015-04-08,1042.6,1072.5,336682
2015-04-09,1045.5,1091.18,435598
2015-04-10,1067.5,1089.0,132806
2015-04-13,1063.18,1090.0,253490
2015-04-15,1068.43,1099.0,366108
2015-04-16,1058.43,1080.75,220736
2015-04-17,1030.03,1062.53,169754
2015-04-20,1000.0,1040.7,221842
2015-04-21,990.0,1015.0,246836
2015-04-22,955.0,1005.25,577600
2015-04-23,980.25,1009.5,366876
2015-04-24,1001.7,1027.25,803688
2015-04-27,978.48,1022.45,445380
2015-04-28,980.08,1017.0,210064
2015-04-29,1000.65,1020.0,132462
2015-04-30,988.08,1010.5,278938
2015-05-04,995.15,1024.5,229438
2015-05-05,1010.05,1036.8,166414
2015-05-06,1002.5,1044.0,444360
2015-05-07,995.03,1013.93,357912
2015-05-08,1005.0,1035.97,162390
2015-05-11,1025.55,1046.88,147036
2015-05-12,1012.5,1036.43,120866
2015-05-13,1013.5,1037.5,156228
2015-05-14,1010.2,1031.5,222346
2015-05-15,1021.5,1044.05,213672
2015-05-18,1029.35,1046.0,245378
2015-05-19,1025.83,1056.72,1670584
2015-05-20,996.43,1047.5,695872
2015-05-21,1003.1,1018.95,265414
2015-05-22,998.0,1015.0,281208
2015-05-25,992.53,1008.9,171124
2015-05-26,993.5,1003.98,140608
2015-05-27,975.03,1002.45,404190
2015-05-28,978.5,1001.38,458476
2015-05-29,995.0,1010.0,202528
2015-06-01,991.03,1005.0,148198
2015-06-02,973.0,996.55,186736
2015-06-03,945.0,975.75,351464
2015-06-04,936.5,963.5,298846
2015-06-05,946.6,965.95,213964
2015-06-08,930.5,959.35,185636
2015-06-09,930.75,956.0,147118
2015-06-10,945.08,959.9,234952
2015-06-11,932.43,959.5,151744
2015-06-12,933.73,955.05,175480
2015-06-15,942.3,959.95,100794
2015-06-16,943.0,970.0,212198
2015-06-17,964.8,984.98,305040
2015-06-18,976.0,987.5,322172
2015-06-19,977.5,989.0,261546
2015-06-22,977.53,989.23,160496
